match_id,date,competition,club,opponent,player_id,player,role,position,minutes,started,result,goals,assists,xg,xa,shots,passes,completed_passes,progressive_passes,final_third_entries,pressures,recoveries,interceptions,tackles,carries,progressive_carries,risk_passes,reward_passes
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,10336,Alejandro Grimaldo García,DEF,Left Wing Back,93.33,1,W,0.0,1.0,0.1009,0.2614,1.0,62.0,51.0,2.0,3.0,5.0,5.0,0,1.0,47.0,3.0,1.0,4.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,27133,Odilon Kossonou,DEF,Right Center Back,80.88,1,W,0,0.0,0,0.0374,0,52.0,47.0,6.0,1.0,8.0,2.0,2.0,2.0,45.0,3.0,4.0,7.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,28239,Adam Hložek,FWD,Right Wing,12.4,0,W,0.0,0.0,0.3165,0,1.0,2.0,2.0,0.0,0.0,4.0,0,0,0,1.0,0.0,0.0,0.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,28268,Exequiel Alejandro Palacios,MID,Right Defensive Midfield,69.13,1,W,0.0,0.0,0.0361,0,2.0,73.0,69.0,7.0,4.0,6.0,4.0,3.0,3.0,67.0,1.0,2.0,7.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,30606,Edmond Fayçal Tapsoba,DEF,Left Center Back,93.33,1,W,0,0.0,0,0,0,90.0,80.0,10.0,4.0,8.0,9.0,2.0,2.0,70.0,6.0,3.0,10.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,32289,Victor Okoh Boniface,FWD,Center Forward,88.02,1,W,2.0,0.0,1.4034,0,11.0,28.0,23.0,2.0,0.0,3.0,5.0,0,0,43.0,3.0,1.0,2.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,32712,Jeremie Frimpong,DEF,Right Wing Back,68.95,1,W,0.0,0.0,0.0374,0.4254,1.0,27.0,23.0,0.0,2.0,8.0,2.0,0,1.0,28.0,4.0,0.0,4.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,40724,Florian Wirtz,FWD,Left Wing,93.33,1,W,0.0,1.0,0.0349,1.2755,1.0,75.0,60.0,10.0,4.0,12.0,6.0,0,1.0,83.0,8.0,8.0,17.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,49337,Josip Stanišić,DEF,Right Center Back,12.45,0,W,0,0.0,0,0,0,8.0,8.0,0.0,0.0,2.0,1.0,0,0,5.0,0.0,0.0,0.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,196651,Arthur Augusto de Matos Soares,DEF,Right Wing Back,24.38,0,W,0,0.0,0,0,0,15.0,14.0,1.0,0.0,2.0,4.0,0,1.0,14.0,3.0,1.0,1.0
3895060,2023-08-26,Bundesliga,Bayer Leverkusen,Borussia Mönchengladbach,261630,Gustavo Adolfo Puerta Molano,FWD,Center Forward,5.32,0,W,0,0.0,0,0,0,2.0,2.0,0.0,0.0,2.0,0,0,0,2.0,0.0,0.0,0.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,3500,Granit Xhaka,MID,Left Defensive Midfield,79.73,1,W,0.0,0.0,0.0405,0.2144,1.0,118.0,109.0,18.0,16.0,12.0,5.0,0,1.0,106.0,6.0,9.0,20.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,8221,Jonathan Tah,DEF,Center Back,71.02,1,W,0,0.0,0,0,0,68.0,63.0,5.0,6.0,3.0,8.0,1.0,0,52.0,3.0,2.0,5.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,8667,Lukáš Hrádecký,GK,Goalkeeper,94.03,1,W,0,0.0,0,0,0,21.0,20.0,0.0,0.0,0,5.0,0,0,15.0,0.0,0.0,0.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,8804,Jonas Hofmann,FWD,Right Wing,94.03,1,W,1.0,0.0,0.5716,0.477,4.0,66.0,56.0,5.0,3.0,12.0,4.0,0,0,57.0,3.0,3.0,8.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,9195,Robert Andrich,MID,Left Defensive Midfield,28.17,0,W,0,0.0,0,0,0,36.0,34.0,7.0,5.0,1.0,2.0,0,0,29.0,1.0,5.0,7.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,10336,Alejandro Grimaldo García,DEF,Left Wing Back,94.03,1,W,0.0,0.0,0.3035,0,4.0,58.0,47.0,2.0,6.0,7.0,6.0,1.0,3.0,45.0,0.0,3.0,2.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,27133,Odilon Kossonou,DEF,Right Center Back,94.03,1,W,0,0.0,0,0,0,83.0,76.0,7.0,7.0,5.0,7.0,1.0,1.0,72.0,7.0,3.0,7.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,28239,Adam Hložek,MID,Right Defensive Midfield,14.3,0,W,1.0,0.0,0.5853,0.0603,1.0,10.0,9.0,0.0,0.0,1.0,1.0,0,0,10.0,1.0,0.0,1.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,28268,Exequiel Alejandro Palacios,MID,Right Defensive Midfield,65.87,1,W,1.0,0.0,0.0697,0.2219,1.0,81.0,75.0,5.0,7.0,11.0,3.0,2.0,0,73.0,1.0,2.0,8.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,30606,Edmond Fayçal Tapsoba,DEF,Left Center Back,94.03,1,W,0.0,0.0,0.0721,0,1.0,108.0,101.0,27.0,17.0,6.0,11.0,1.0,0,103.0,4.0,6.0,27.0
3895067,2023-09-02,Bundesliga,Bayer Leverkusen,Darmstadt 98,32289,Victor Okoh Boniface,FWD,Center Forward,94.03,1,W,2.0,1.0,1.0901,0.1032,7.0,30.0,27.0,2.0,0.0,7.0,1.0,0,0,44.0,4.0,2.0,4.0
