match_id,date,competition,club,opponent,player_id,player,role,position,minutes,started,result,goals,assists,xg,xa,shots,passes,completed_passes,progressive_passes,final_third_entries,pressures,recoveries,interceptions,tackles,carries,progressive_carries,risk_passes,reward_passes
3754141,2015-08-09,Premier League,Arsenal,West Ham United,3668,Theo Walcott,MID,Left Defensive Midfield,37.37,0,L,0.0,0.0,0.1404,0,2.0,6.0,2.0,0.0,0.0,2.0,2.0,0,0,8.0,1.0,0.0,0.0
3754141,2015-08-09,Premier League,Arsenal,West Ham United,4428,Mathieu Debuchy,DEF,Right Back,66.57,1,L,0.0,0.0,0.0294,0.0246,1.0,44.0,31.0,10.0,8.0,6.0,5.0,1.0,0,29.0,1.0,4.0,10.0
3754141,2015-08-09,Premier League,Arsenal,West Ham United,11386,Santiago Cazorla González,FWD,Left Wing,95.03,1,L,0.0,0.0,0.0484,0.1373,2.0,84.0,73.0,16.0,8.0,9.0,8.0,0,1.0,73.0,2.0,8.0,19.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,3083,Heung-Min Son,FWD,Left Wing,63.32,1,W,0.0,0.0,0.419,0,2.0,18.0,14.0,1.0,1.0,12.0,5.0,1.0,1.0,24.0,2.0,1.0,1.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,5555,Julian Brandt,MID,Left Midfield,30.12,0,W,1.0,0.0,0.2145,0.1701,2.0,11.0,9.0,1.0,0.0,5.0,1.0,0,0,14.0,2.0,1.0,3.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,7039,Hakan Çalhanoğlu,MID,Center Attacking Midfield,93.43,1,W,0.0,0.0,0.3136,0.6588,5.0,53.0,38.0,2.0,1.0,21.0,8.0,0,1.0,39.0,2.0,4.0,9.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8212,Wendell Nascimento Borges,DEF,Left Back,93.43,1,W,0.0,0.0,0.1235,0.0089,2.0,59.0,44.0,10.0,8.0,11.0,12.0,0,4.0,46.0,6.0,9.0,10.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8213,Karim Bellarabi,FWD,Right Wing,89.43,1,W,0,0.0,0,0.8316,0,22.0,14.0,2.0,1.0,24.0,6.0,2.0,4.0,30.0,8.0,1.0,5.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8219,Admir Mehmedi,MID,Right Defensive Midfield,33.77,0,W,0.0,1.0,0.3501,0.2145,2.0,16.0,12.0,0.0,0.0,7.0,2.0,0,0,21.0,5.0,1.0,2.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8221,Jonathan Tah,DEF,Right Center Back,93.43,1,W,0,0.0,0,0,0,36.0,30.0,6.0,7.0,10.0,5.0,1.0,1.0,16.0,0.0,3.0,6.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8313,Kyriakos Papadopoulos,DEF,Left Center Back,93.43,1,W,0.0,0.0,0.3585,0,4.0,19.0,9.0,1.0,0.0,11.0,2.0,1.0,3.0,6.0,0.0,0.0,1.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8805,Christoph Kramer,MID,Left Defensive Midfield,93.43,1,W,0,0.0,0,0,0,56.0,42.0,4.0,1.0,17.0,7.0,1.0,2.0,48.0,4.0,6.0,4.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8918,Roberto Hilbert,DEF,Right Back,93.43,1,W,0,0.0,0,0.5636,0,64.0,42.0,17.0,7.0,15.0,7.0,3.0,2.0,46.0,3.0,12.0,20.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,8969,Lars Bender,MID,Right Defensive Midfield,59.67,1,W,0.0,0.0,0.0269,0.2433,1.0,36.0,22.0,2.0,3.0,10.0,3.0,1.0,4.0,26.0,2.0,4.0,3.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,9363,André Ramalho Silva,MID,Right Midfield,4.0,0,W,0,0.0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,11394,Stefan Kießling,FWD,Center Forward,93.43,1,W,1.0,0.0,1.6331,0,7.0,39.0,24.0,0.0,3.0,14.0,3.0,0,0,25.0,0.0,1.0,0.0
3890260,2015-08-15,Bundesliga,Bayer Leverkusen,Hoffenheim,15581,Bernd Leno,GK,Goalkeeper,93.43,1,W,0,0.0,0,0,0,35.0,27.0,11.0,5.0,0,8.0,0,0,26.0,0.0,0.0,11.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3385,Alexis Alejandro Sánchez Sánchez,FWD,Left Wing,74.67,1,W,0.0,0.0,0.8788,0,8.0,48.0,36.0,8.0,3.0,14.0,12.0,0,1.0,49.0,3.0,4.0,8.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3394,Laurent Koscielny,DEF,Left Center Back,93.42,1,W,0.0,0.0,0.043,0,1.0,60.0,53.0,8.0,2.0,8.0,1.0,0,2.0,39.0,2.0,0.0,8.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3437,Francis Joseph Coquelin,MID,Right Defensive Midfield,63.68,1,W,0,0.0,0,0,0,54.0,49.0,9.0,7.0,21.0,6.0,0,8.0,51.0,0.0,5.0,9.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3461,Petr Čech,GK,Goalkeeper,93.42,1,W,0,0.0,0,0.0532,0,31.0,19.0,8.0,5.0,0,4.0,0,0,13.0,0.0,0.0,8.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3475,Per Mertesacker,DEF,Right Center Back,93.42,1,W,0,0.0,0,0,0,49.0,45.0,4.0,1.0,4.0,0,0,0,34.0,0.0,1.0,4.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3496,Mesut Özil,MID,Center Attacking Midfield,82.55,1,W,0.0,1.0,0.032,0.599,1.0,64.0,56.0,7.0,4.0,18.0,2.0,0,3.0,55.0,5.0,3.0,11.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3498,Ignacio Monreal Eraso,DEF,Left Back,93.42,1,W,0,0.0,0,0.1132,0,58.0,48.0,6.0,7.0,15.0,7.0,3.0,2.0,50.0,2.0,4.0,7.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3511,Héctor Bellerín Moruno,DEF,Right Back,93.42,1,W,0,0.0,0,0.0674,0,47.0,39.0,3.0,2.0,14.0,3.0,0,4.0,28.0,3.0,2.0,4.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3517,Aaron Ramsey,FWD,Right Wing,93.42,1,W,0.0,0.0,0.2363,0.3508,3.0,80.0,61.0,5.0,5.0,28.0,9.0,0,7.0,76.0,3.0,2.0,9.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3525,Alex Oxlade-Chamberlain,MID,Right Defensive Midfield,29.73,0,W,0.0,0.0,0.1783,0,2.0,9.0,7.0,1.0,0.0,7.0,4.0,0,0,10.0,3.0,0.0,1.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3528,Kieran Gibbs,MID,Center Attacking Midfield,10.87,0,W,0,0.0,0,0,0,3.0,1.0,0.0,0.0,5.0,0,0,1.0,1.0,0.0,0.0,0.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,3604,Olivier Giroud,FWD,Center Forward,93.42,1,W,1.0,0.0,0.2969,0,3.0,24.0,13.0,2.0,0.0,8.0,0,0,0,16.0,0.0,3.0,2.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,11386,Santiago Cazorla González,MID,Left Defensive Midfield,93.42,1,W,0.0,0.0,0.1127,0.228,2.0,83.0,74.0,12.0,7.0,7.0,11.0,2.0,2.0,74.0,6.0,7.0,15.0
3754312,2015-08-16,Premier League,Arsenal,Crystal Palace,42703,Mikel Arteta Amatriain,FWD,Left Wing,18.75,0,W,0,0.0,0,0,0,5.0,4.0,0.0,0.0,6.0,0,0,4.0,3.0,0.0,1.0,0.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,3166,Marco Verratti,MID,Right Center Midfield,94.03,1,W,0,0.0,0,0.087,0,142.0,128.0,21.0,11.0,10.0,5.0,0,2.0,118.0,1.0,8.0,22.0
3829432,2015-08-16,Ligue 1,Paris Saint-Germain,Gazélec Ajaccio,3295,Thiago Emiliano da Silva,DEF,Right Center Back,94.03,1,W,1.0,0.0,0.1666,0.2238,2.0,105.0,99.0,12.0,4.0,5.0,7.0,2.0,0,75.0,5.0,3.0,12.0
