sample_player,second,x_m,y_m,distance_step_m
Sample player 1,308.0,6.08,-26.17,1.8
Sample player 6,310.0,23.39,-11.14,5.89
Sample player 5,310.0,24.31,-21.5,3.57
Sample player 2,310.0,23.47,-3.17,5.02
Sample player 4,310.0,23.7,-27.79,5.11
Sample player 3,310.0,13.82,-24.55,2.69
Sample player 1,310.0,3.15,-27.46,3.2
Sample player 6,324.0,8.45,-9.89,14.99
Sample player 2,324.0,2.06,3.68,22.48
Sample player 4,324.0,0.7,-33.82,23.78
Sample player 3,324.0,-0.38,-29.74,15.12
Sample player 1,324.0,-12.17,-26.71,15.34
Sample player 6,326.0,14.25,-7.95,6.12
Sample player 2,326.0,3.54,7.82,4.4
Sample player 4,326.0,7.21,-32.09,6.74
Sample player 6,340.0,18.45,-0.7,8.38
Sample player 2,340.0,4.48,14.25,6.5
Sample player 4,340.0,6.37,-30.64,1.68
Sample player 6,342.0,23.48,2.54,5.98
Sample player 5,342.0,24.13,-21.77,0.32
Sample player 2,342.0,7.57,19.13,5.78
Sample player 4,342.0,11.34,-32.6,5.34
Sample player 6,344.0,26.01,5.85,4.17
Sample player 5,344.0,22.56,-16.26,5.73
Sample player 2,344.0,8.97,25.72,6.74
Sample player 4,344.0,13.46,-29.61,3.67
Sample player 6,346.0,22.42,5.81,3.59
Sample player 5,346.0,22.57,-12.18,4.08
Sample player 2,346.0,9.99,29.21,3.64
Sample player 4,346.0,13.22,-27.6,2.02
Sample player 6,348.0,19.48,5.91,2.94
Sample player 5,348.0,20.85,-11.87,1.75
Sample player 2,348.0,6.92,28.64,3.12
Sample player 4,348.0,12.04,-29.57,2.3
Sample player 3,348.0,-3.07,-15.32,14.67
Sample player 6,350.0,17.85,6.44,1.71
Sample player 5,350.0,17.96,-12.03,2.89
Sample player 4,350.0,8.86,-31.13,3.54
Sample player 3,350.0,-4.47,-16.77,2.02
Sample player 6,352.0,15.78,10.09,4.2
Sample player 5,352.0,16.47,-10.39,2.22
Sample player 2,352.0,0.46,30.72,6.79
Sample player 4,352.0,8.06,-28.26,2.98
Sample player 3,352.0,-6.91,-15.11,2.95
Sample player 1,352.0,-11.96,-6.53,20.18
Sample player 6,354.0,11.51,15.04,6.54
Sample player 5,354.0,14.83,-4.59,6.03
Sample player 2,354.0,-0.82,32.35,2.07
Sample player 4,354.0,6.76,-24.8,3.7
Sample player 3,354.0,-9.89,-10.61,5.4
Sample player 1,354.0,-13.32,0.43,7.09
Sample player 6,356.0,11.01,15.27,0.55
Sample player 5,356.0,17.44,-2.72,3.21
Sample player 2,356.0,-2.7,32.37,1.88
Sample player 4,356.0,6.68,-25.15,0.36
Sample player 3,356.0,-10.11,-8.95,1.67
Sample player 6,358.0,12.1,14.19,1.53
Sample player 5,358.0,17.02,-3.72,1.08
Sample player 2,358.0,-4.47,31.34,2.05
Sample player 4,358.0,4.28,-28.84,4.4
Sample player 3,358.0,-8.81,-6.49,2.78
Sample player 6,360.0,11.47,15.2,1.19
Sample player 5,360.0,14.69,-3.87,2.33
Sample player 2,360.0,-5.24,31.97,0.99
Sample player 4,360.0,7.02,-25.68,4.18
Sample player 3,360.0,-7.64,-0.91,5.7
Sample player 6,362.0,7.15,19.5,6.1
Sample player 5,362.0,11.74,-2.02,3.48
Sample player 2,362.0,-4.64,32.95,1.15
Sample player 4,362.0,6.96,-18.83,6.85
Sample player 3,362.0,-8.67,7.73,8.7
Sample player 6,364.0,5.38,24.05,4.88
Sample player 5,364.0,10.38,1.48,3.75
Sample player 2,364.0,-3.89,32.26,1.02
Sample player 4,364.0,3.88,-13.99,5.74
Sample player 3,364.0,-8.67,15.86,8.13
Sample player 6,366.0,10.86,27.23,6.34
Sample player 5,366.0,12.29,2.81,2.33
Sample player 2,366.0,-1.21,31.24,2.87
Sample player 4,366.0,4.37,-12.39,1.67
Sample player 3,366.0,-6.75,20.16,4.71
Sample player 1,366.0,-18.56,5.64,7.39
Sample player 6,368.0,16.22,25.58,5.61
Sample player 5,368.0,19.28,1.47,7.12
Sample player 2,368.0,3.99,32.62,5.38
Sample player 4,368.0,9.47,-15.91,6.2
Sample player 3,368.0,-7.14,17.49,2.7
Sample player 6,370.0,23.23,27.42,7.25
Sample player 5,370.0,27.02,-2.6,8.74
Sample player 2,370.0,7.27,31.72,3.4
Sample player 4,370.0,16.54,-20.27,8.31
Sample player 6,372.0,27.18,27.49,3.95
Sample player 5,372.0,32.22,-7.33,7.03
Sample player 4,372.0,22.42,-23.6,6.76
Sample player 6,374.0,27.92,22.42,5.12
Sample player 4,374.0,19.33,-27.42,4.91
Sample player 6,380.0,23.07,-1.19,24.1
Sample player 5,380.0,19.87,-17.95,16.29
Sample player 2,380.0,13.77,12.66,20.14
Sample player 4,380.0,15.75,-26.94,3.61
Sample player 3,380.0,3.48,-11.32,30.71
Sample player 1,380.0,-3.55,-6.5,19.3
Sample player 6,382.0,25.06,-5.4,4.66
Sample player 5,382.0,23.86,-13.18,6.22
Sample player 2,382.0,17.16,2.64,10.58
Sample player 4,382.0,22.53,-20.44,9.39
Sample player 3,382.0,8.32,-8.58,5.56
Sample player 6,384.0,26.16,-2.35,3.24
Sample player 5,384.0,28.45,-7.93,6.97
Sample player 2,384.0,20.24,-1.84,5.44
Sample player 4,384.0,28.07,-12.97,9.3
Sample player 3,384.0,10.57,-4.03,5.08
Sample player 6,386.0,24.58,-0.12,2.73
Sample player 5,386.0,26.62,-6.67,2.22
Sample player 2,386.0,19.85,2.92,4.78
Sample player 4,386.0,25.05,-12.1,3.14
Sample player 3,386.0,13.39,0.15,5.04
Sample player 2,388.0,15.02,8.98,7.75
Sample player 3,388.0,8.32,-0.7,5.14
Sample player 1,388.0,-16.39,11.88,22.42
Sample player 3,390.0,-2.16,3.09,11.14
Sample player 1,390.0,-13.17,17.37,6.36
Sample player 3,392.0,-15.37,8.26,14.19
Sample player 1,392.0,-20.18,19.59,7.35
Sample player 3,394.0,-30.38,7.7,15.02
Sample player 1,394.0,-30.26,15.79,10.77
Sample player 2,396.0,2.31,22.04,18.22
Sample player 4,396.0,2.01,-11.53,23.05
Sample player 1,396.0,-32.24,13.75,2.84
Sample player 6,398.0,12.38,18.54,22.29
Sample player 5,398.0,10.78,1.37,17.76
Sample player 2,398.0,8.54,23.64,6.43
Sample player 4,398.0,4.77,-9.48,3.44
Sample player 6,400.0,15.37,20.69,3.68
Sample player 5,400.0,13.5,5.6,5.03
Sample player 2,400.0,7.17,26.82,3.46
Sample player 4,400.0,7.57,-7.5,3.43
Sample player 6,402.0,17.07,21.14,1.76
Sample player 5,402.0,14.29,10.15,4.62
Sample player 2,402.0,7.95,29.95,3.23
Sample player 4,402.0,10.24,-5.12,3.58
Sample player 6,404.0,17.14,21.48,0.35
Sample player 5,404.0,14.84,13.14,3.04
Sample player 2,404.0,9.06,30.42,1.21
Sample player 4,404.0,11.47,-2.27,3.1
Sample player 3,404.0,-12.14,12.04,18.75
Sample player 1,404.0,-12.37,20.08,20.85
Sample player 6,406.0,17.42,21.66,0.33
Sample player 5,406.0,15.65,14.05,1.22
Sample player 2,406.0,11.11,29.6,2.21
Sample player 4,406.0,12.59,0.73,3.2
Sample player 3,406.0,-9.61,15.5,4.29
Sample player 1,406.0,-9.85,25.25,5.75
Sample player 6,410.0,18.17,23.2,1.71
Sample player 5,410.0,17.49,13.87,1.85
Sample player 2,410.0,15.4,29.1,4.32
Sample player 4,410.0,15.51,3.76,4.21
Sample player 3,410.0,-9.28,21.48,5.99
Sample player 1,410.0,-1.26,27.15,8.8
Sample player 6,412.0,18.26,24.2,1.0
Sample player 5,412.0,17.38,13.56,0.33
Sample player 2,412.0,16.83,29.25,1.44
Sample player 4,412.0,16.01,3.88,0.51
Sample player 3,412.0,-11.12,23.29,2.58
Sample player 1,412.0,0.8,26.81,2.09
Sample player 6,414.0,17.85,24.27,0.42
Sample player 5,414.0,16.35,12.86,1.25
Sample player 2,414.0,16.01,29.6,0.89
Sample player 4,414.0,15.15,3.48,0.95
Sample player 1,414.0,0.04,26.46,0.84
Sample player 6,416.0,15.02,22.95,3.12
Sample player 5,416.0,14.12,11.98,2.4
Sample player 2,416.0,13.68,29.04,2.4
Sample player 4,416.0,12.77,3.06,2.42
Sample player 3,416.0,-13.44,25.97,3.54
Sample player 1,416.0,-6.02,30.15,7.1
Sample player 6,418.0,11.27,22.06,3.85
Sample player 2,418.0,10.54,28.76,3.15
Sample player 4,418.0,7.21,1.7,5.72
Sample player 3,418.0,-15.9,27.53,2.91
Sample player 1,418.0,-12.36,31.6,6.5
Sample player 4,420.0,-5.28,-1.81,12.97
Sample player 3,420.0,-22.02,20.76,9.13
Sample player 1,420.0,-23.11,27.57,11.48
Sample player 4,422.0,-20.22,-6.88,15.78
Sample player 3,422.0,-28.09,10.51,11.91
Sample player 1,422.0,-33.16,21.12,11.94
Sample player 4,424.0,-33.47,-12.27,14.3
Sample player 3,424.0,-34.52,4.42,8.86
Sample player 1,424.0,-38.79,13.8,9.23
Sample player 4,426.0,-36.23,-13.96,3.24
Sample player 3,426.0,-36.16,1.19,3.62
Sample player 1,426.0,-39.71,10.38,3.54
Sample player 3,438.0,-36.58,-1.14,2.37
Sample player 1,438.0,-41.52,12.24,2.6
Sample player 2,440.0,-22.36,29.15,32.9
Sample player 3,440.0,-38.97,5.93,7.46
Sample player 1,440.0,-37.94,15.91,5.13
Sample player 2,442.0,-25.87,28.9,3.52
Sample player 3,442.0,-37.39,9.83,4.21
Sample player 1,442.0,-37.46,16.83,1.04
Sample player 2,444.0,-22.47,26.75,4.02
Sample player 4,444.0,-9.67,5.4,32.87
Sample player 3,444.0,-34.87,10.83,2.71
Sample player 1,444.0,-35.81,16.04,1.83
Sample player 2,446.0,-16.96,24.48,5.96
Sample player 4,446.0,-6.46,3.66,3.65
Sample player 3,446.0,-32.25,12.0,2.87
Sample player 1,446.0,-33.34,15.97,2.47
Sample player 6,448.0,6.2,15.77,8.08
Sample player 2,448.0,-9.16,22.76,7.99
Sample player 4,448.0,-0.63,0.7,6.54
Sample player 6,450.0,12.47,12.63,7.01
Sample player 5,450.0,11.93,3.16,9.09
Sample player 2,450.0,1.58,18.93,11.4
Sample player 4,450.0,7.72,-5.16,10.2
Sample player 6,452.0,20.3,5.92,10.31
Sample player 5,452.0,19.82,-1.93,9.39
Sample player 2,452.0,12.66,13.54,12.32
Sample player 4,452.0,18.12,-10.04,11.49
Sample player 6,454.0,30.24,0.52,11.31
Sample player 5,454.0,30.33,-3.85,10.68
Sample player 2,454.0,23.77,8.72,12.11
Sample player 4,454.0,25.81,-16.28,9.9
Sample player 6,456.0,38.41,3.79,8.8
Sample player 5,456.0,39.48,-3.24,9.17
Sample player 2,456.0,35.26,6.69,11.67
Sample player 4,456.0,31.73,-14.96,6.07
Sample player 6,458.0,36.95,7.31,3.81
Sample player 5,458.0,40.19,-0.28,3.04
Sample player 2,458.0,37.48,9.67,3.72
Sample player 4,458.0,35.81,-9.68,6.67
Sample player 6,460.0,34.57,8.68,2.75
Sample player 5,460.0,36.43,0.68,3.88
Sample player 2,460.0,35.82,14.99,5.57
Sample player 4,460.0,32.9,-8.23,3.25
Sample player 3,460.0,16.55,3.84,49.48
Sample player 6,462.0,33.71,10.6,2.1
Sample player 5,462.0,33.19,1.06,3.26
Sample player 2,462.0,34.31,20.85,6.05
Sample player 4,462.0,31.14,-8.43,1.77
Sample player 3,462.0,15.45,7.18,3.52
Sample player 6,464.0,30.97,11.84,3.01
Sample player 5,464.0,30.18,3.44,3.84
Sample player 2,464.0,30.02,22.12,4.47
Sample player 4,464.0,28.86,-7.44,2.49
Sample player 3,464.0,12.99,11.2,4.71
Sample player 1,464.0,11.09,22.15,44.86
Sample player 6,466.0,25.98,13.26,5.19
Sample player 5,466.0,26.44,5.58,4.31
Sample player 2,466.0,24.7,22.67,5.35
Sample player 4,466.0,25.3,-4.08,4.9
Sample player 3,466.0,8.49,14.09,5.35
Sample player 1,466.0,8.08,26.94,5.66
Sample player 6,468.0,24.39,15.24,2.54
Sample player 5,468.0,24.02,6.29,2.52
Sample player 2,468.0,22.87,25.18,3.11
Sample player 4,468.0,21.42,-2.19,4.32
Sample player 3,468.0,5.67,16.05,3.43
Sample player 1,468.0,7.5,31.24,4.34
Sample player 6,470.0,28.29,15.96,3.97
Sample player 5,470.0,26.8,7.94,3.23
Sample player 2,470.0,26.57,25.22,3.7
Sample player 4,470.0,23.75,-0.92,2.65
Sample player 3,470.0,6.64,17.71,1.92
Sample player 1,470.0,7.52,30.27,0.97
Sample player 6,472.0,31.56,14.95,3.42
Sample player 5,472.0,30.48,8.39,3.71
Sample player 2,472.0,30.3,25.61,3.75
Sample player 4,472.0,27.14,0.65,3.74
Sample player 3,472.0,9.56,17.85,2.92
Sample player 1,472.0,7.27,28.35,1.94
Sample player 6,474.0,35.83,15.31,4.29
Sample player 5,474.0,33.58,7.04,3.38
Sample player 2,474.0,33.74,26.56,3.57
Sample player 4,474.0,29.38,-0.62,2.57
Sample player 6,476.0,39.73,14.68,3.95
Sample player 5,476.0,36.62,1.1,6.67
Sample player 2,476.0,34.92,27.03,1.27
Sample player 4,476.0,30.51,-5.9,5.4
Sample player 6,478.0,43.48,10.62,5.53
Sample player 5,478.0,40.53,-6.28,8.35
Sample player 2,478.0,35.25,26.81,0.4
Sample player 4,478.0,31.55,-13.86,8.03
Sample player 6,480.0,43.43,8.25,2.37
Sample player 5,480.0,41.67,-5.12,1.63
Sample player 2,480.0,36.24,29.33,2.71
Sample player 4,480.0,31.77,-16.7,2.85
Sample player 6,482.0,42.23,10.46,2.51
Sample player 5,482.0,39.57,-3.11,2.91
Sample player 2,482.0,36.06,29.51,0.25
Sample player 4,482.0,30.75,-14.08,2.81
Sample player 3,482.0,17.91,17.07,8.39
Sample player 6,484.0,40.88,13.77,3.57
Sample player 5,484.0,37.54,-1.23,2.77
Sample player 2,484.0,35.58,28.64,0.99
Sample player 4,484.0,30.01,-11.47,2.71
Sample player 3,484.0,22.38,17.3,4.48
Sample player 6,500.0,35.74,19.22,7.49
Sample player 5,500.0,32.83,13.31,15.28
Sample player 2,500.0,36.24,26.25,2.48
Sample player 4,500.0,32.92,7.07,18.77
Sample player 3,500.0,21.52,29.37,12.1
Sample player 1,500.0,9.09,24.93,3.87
Sample player 6,502.0,33.3,18.36,2.59
Sample player 5,502.0,28.58,12.59,4.31
Sample player 2,502.0,33.17,27.19,3.21
Sample player 4,502.0,30.36,5.65,2.93
Sample player 3,502.0,18.6,29.76,2.95
Sample player 1,502.0,8.72,23.71,1.27
Sample player 6,504.0,26.25,16.12,7.4
Sample player 5,504.0,23.16,9.07,6.46
Sample player 2,504.0,27.35,23.96,6.66
Sample player 3,504.0,12.39,26.26,7.13
Sample player 1,504.0,5.91,21.77,3.41
Sample player 6,506.0,20.18,10.4,8.34
Sample player 5,506.0,18.74,2.75,7.71
Sample player 2,506.0,20.43,18.59,8.76
Sample player 4,506.0,19.75,-2.51,13.38
Sample player 3,506.0,7.07,19.53,8.58
Sample player 1,506.0,3.33,13.48,8.68
Sample player 6,508.0,15.58,5.14,6.99
Sample player 5,508.0,15.53,-2.81,6.42
Sample player 2,508.0,15.27,12.48,8.0
Sample player 4,508.0,14.9,-7.6,7.03
Sample player 3,508.0,1.71,12.41,8.91
Sample player 1,508.0,-2.15,6.13,9.17
Sample player 6,510.0,10.14,1.81,6.38
Sample player 5,510.0,10.63,-6.21,5.96
Sample player 2,510.0,10.03,8.3,6.7
Sample player 4,510.0,9.85,-12.13,6.78
Sample player 3,510.0,-1.64,4.1,8.96
Sample player 1,510.0,-10.59,-0.07,10.47
Sample player 6,512.0,7.35,0.99,2.91
Sample player 5,512.0,7.0,-5.55,3.69
Sample player 2,512.0,7.66,9.04,2.48
Sample player 4,512.0,6.47,-13.28,3.57
Sample player 3,512.0,-4.03,-1.67,6.25
Sample player 1,512.0,-14.08,-3.18,4.67
Sample player 6,514.0,10.44,2.06,3.27
Sample player 5,514.0,12.08,-4.63,5.16
Sample player 2,514.0,10.84,9.94,3.3
Sample player 4,514.0,12.29,-16.15,6.49
Sample player 3,514.0,-4.68,0.89,2.64
Sample player 1,514.0,-13.83,-3.22,0.25
Sample player 6,516.0,16.29,-0.06,6.22
Sample player 5,516.0,19.78,-8.81,8.76
Sample player 2,516.0,16.24,6.87,6.21
Sample player 4,516.0,18.75,-28.14,13.62
Sample player 6,518.0,22.92,-1.91,6.88
Sample player 5,518.0,27.34,-13.18,8.73
Sample player 2,518.0,22.02,4.52,6.24
Sample player 4,518.0,28.72,-34.81,12.0
Sample player 6,520.0,26.66,-3.6,4.1
Sample player 5,520.0,32.19,-17.62,6.58
Sample player 2,520.0,25.61,2.93,3.93
Sample player 4,520.0,28.32,-34.89,0.41
Sample player 6,522.0,27.99,-5.34,2.19
Sample player 5,522.0,34.53,-21.96,4.93
Sample player 2,522.0,26.72,1.6,1.73
Sample player 4,522.0,25.91,-34.26,2.49
Sample player 6,524.0,27.87,-7.42,2.08
Sample player 2,524.0,26.11,1.54,0.61
Sample player 4,524.0,19.13,-33.04,6.89
Sample player 3,524.0,5.54,-17.36,20.92
Sample player 6,526.0,27.33,-9.46,2.11
Sample player 2,526.0,25.07,0.52,1.46
Sample player 4,526.0,18.91,-32.22,0.85
Sample player 3,526.0,8.23,-22.08,5.43
Sample player 6,534.0,28.27,-15.68,6.29
Sample player 5,534.0,29.52,-24.79,5.75
Sample player 2,534.0,27.3,-7.47,8.3
Sample player 4,534.0,27.55,-28.56,9.38
Sample player 3,534.0,14.25,-24.26,6.4
Sample player 6,536.0,29.57,-15.07,1.44
Sample player 5,536.0,30.5,-24.74,0.98
Sample player 2,536.0,27.9,-7.46,0.6
Sample player 4,536.0,29.03,-28.41,1.49
Sample player 3,536.0,13.94,-24.49,0.39
Sample player 6,538.0,30.71,-15.54,1.23
Sample player 5,538.0,30.94,-25.26,0.68
Sample player 2,538.0,29.2,-7.69,1.32
Sample player 4,538.0,28.57,-28.07,0.57
Sample player 3,538.0,14.8,-23.73,1.15
Sample player 6,540.0,30.71,-15.68,0.14
Sample player 5,540.0,31.01,-24.64,0.62
Sample player 2,540.0,30.2,-8.01,1.05
Sample player 4,540.0,24.21,-28.21,4.36
Sample player 3,540.0,16.72,-24.55,2.09
Sample player 6,542.0,28.91,-14.98,1.93
Sample player 2,542.0,28.83,-7.12,1.63
Sample player 4,542.0,22.69,-30.44,2.7
Sample player 3,542.0,16.09,-28.03,3.54
Sample player 1,546.0,-26.44,-27.96,27.77
Sample player 3,548.0,-16.13,-18.65,33.56
Sample player 1,548.0,-38.67,-20.46,14.35
Sample player 3,550.0,-29.09,-11.04,15.03
Sample player 1,550.0,-46.34,-14.31,9.83
Sample player 3,552.0,-34.52,-7.54,6.46
Sample player 1,552.0,-47.96,-12.29,2.59
Sample player 3,554.0,-35.6,-4.38,3.34
Sample player 1,554.0,-46.68,-10.53,2.18
Sample player 2,574.0,-29.22,31.72,69.85
Sample player 3,574.0,-38.62,24.48,29.02
Sample player 1,574.0,-45.42,20.42,30.98
Sample player 2,576.0,-29.23,30.15,1.57
Sample player 4,576.0,-19.47,8.16,57.16
Sample player 3,576.0,-38.09,26.23,1.83
Sample player 1,576.0,-45.26,29.43,9.01
Sample player 6,578.0,-18.14,32.33,66.72
Sample player 2,578.0,-22.51,32.34,7.07
Sample player 4,578.0,-16.84,9.16,2.81
Sample player 3,578.0,-33.34,26.68,4.77
Sample player 1,578.0,-42.14,29.23,3.13
Sample player 6,580.0,-15.16,32.36,2.98
Sample player 2,580.0,-20.39,33.17,2.28
Sample player 4,580.0,-13.77,8.99,3.07
Sample player 3,580.0,-29.4,27.12,3.96
Sample player 1,580.0,-39.71,27.5,2.98
Sample player 2,592.0,-19.9,33.98,0.95
Sample player 4,592.0,-12.12,-4.32,13.41
Sample player 3,592.0,-26.98,24.5,3.57
Sample player 1,592.0,-30.83,16.01,14.52
Sample player 2,594.0,-20.1,34.06,0.22
Sample player 4,594.0,-11.69,-5.36,1.13
Sample player 3,594.0,-30.8,25.1,3.87
Sample player 1,594.0,-30.63,14.42,1.6
Sample player 2,596.0,-19.17,32.51,1.81
Sample player 4,596.0,-11.63,-4.3,1.06
Sample player 3,596.0,-31.24,28.23,3.16
Sample player 2,598.0,-16.64,32.73,2.54
Sample player 4,598.0,-12.33,-5.93,1.77
Sample player 3,598.0,-29.09,28.31,2.15
Sample player 1,598.0,-31.11,11.83,2.63
Sample player 6,600.0,7.31,28.38,22.82
Sample player 5,600.0,8.66,7.94,39.51
Sample player 2,600.0,-11.12,33.96,5.66
Sample player 4,600.0,-6.36,-9.47,6.94
