match_id,date,club,player_id,player,role,x_bin,y_bin,passes,completed,progressive,risk,reward,xa
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,4,2,4,3,1,1,1,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,3,2,6,5,2,2,2,0.019664891
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,5,3,3,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,4,1,4,2,2,2,2,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,4,0,7,5,2,1,2,0.0
3825637,2015-10-25,Barcelona,5211,Jordi Alba Ramos,DEF,5,0,3,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5211,Jordi Alba Ramos,DEF,4,0,4,4,0,0,0,0.0
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,5,1,2,1,0,0,1,0.2955752
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,5,0,5,3,0,0,0,0.0
3825637,2015-10-25,Barcelona,4324,Daniel Alves da Silva,DEF,4,3,16,11,3,3,3,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,3,0,4,4,1,0,1,0.0
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,4,0,6,4,0,0,0,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,2,0,5,5,1,0,1,0.0
3825637,2015-10-25,Barcelona,5213,Gerard Piqué Bernabéu,DEF,2,2,10,9,4,0,4,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,1,2,2,2,1,0,1,0.0
3825637,2015-10-25,Barcelona,3508,Sandro Ramírez Castillo,FWD,5,2,1,1,0,0,1,0.57605565
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,3,1,4,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,7068,Marc Bartra Aregall,DEF,0,3,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,4324,Daniel Alves da Silva,DEF,0,3,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5213,Gerard Piqué Bernabéu,DEF,0,3,3,3,0,0,0,0.0
3825637,2015-10-25,Barcelona,7068,Marc Bartra Aregall,DEF,0,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,7068,Marc Bartra Aregall,DEF,2,0,4,3,1,0,1,0.0
3825637,2015-10-25,Barcelona,3508,Sandro Ramírez Castillo,FWD,5,3,2,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,4324,Daniel Alves da Silva,DEF,0,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,2,0,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,2,0,4,3,1,0,1,0.0
3825637,2015-10-25,Barcelona,5246,Luis Alberto Suárez Díaz,FWD,4,0,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,3508,Sandro Ramírez Castillo,FWD,4,3,1,0,0,0,0,0.0
3825637,2015-10-25,Barcelona,5213,Gerard Piqué Bernabéu,DEF,1,3,11,11,2,0,2,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,5,0,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,1,1,3,3,0,0,0,0.0
3825637,2015-10-25,Barcelona,7068,Marc Bartra Aregall,DEF,2,2,2,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5211,Jordi Alba Ramos,DEF,2,1,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,3,0,1,1,1,1,1,0.0
3825637,2015-10-25,Barcelona,5211,Jordi Alba Ramos,DEF,0,0,2,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,4320,Neymar da Silva Santos Junior,FWD,4,3,6,5,0,0,0,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,3,3,2,1,0,1,0,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,1,0,2,2,0,0,0,0.0
3825637,2015-10-25,Barcelona,5203,Sergio Busquets i Burgos,MID,1,0,2,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,3508,Sandro Ramírez Castillo,FWD,3,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5211,Jordi Alba Ramos,DEF,3,2,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,7068,Marc Bartra Aregall,DEF,3,0,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,2,1,5,4,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,2,0,7,6,2,0,2,0.0
3825637,2015-10-25,Barcelona,5470,Ivan Rakitić,MID,1,1,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,10609,Jérémy Mathieu,DEF,0,1,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,6616,Munir El Haddadi Mohamed,FWD,1,3,1,1,0,0,0,0.0
3825637,2015-10-25,Barcelona,5506,Javier Alejandro Mascherano,MID,1,3,3,3,1,0,1,0.0
